Drug_ID,Drug,Y,mol,mol_wt,logp,hba,hbd,tpsa,num_rot_bonds,num_het_atoms,num_heavy_atoms,num_rings,fsp3,mol_no_salt
Drug 6,CCCCN(CC(O)C1=CC(=[N+]=[N-])C(=O)C=C1)N=O,1,<rdkit.Chem.rdchem.Mol object at 0x000001775B8B5330>,264.285,0.8669,4,1,106.37,7,7,19,1,0.5,<rdkit.Chem.rdchem.Mol object at 0x000001775C28B030>
Drug 8,CCN(CC(O)C1=CC(=O)C(=[N+]=[N-])C=C1)N=O,1,<rdkit.Chem.rdchem.Mol object at 0x000001775A71EB10>,236.231,0.08669999999999994,4,1,106.37,5,7,17,1,0.4,<rdkit.Chem.rdchem.Mol object at 0x000001775E2160F0>
Drug 9,CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)OCC4(C)C3CCC21C,0,<rdkit.Chem.rdchem.Mol object at 0x000001775A7CE450>,406.9060000000003,3.9456000000000033,5,0,69.67,2,6,28,4,0.6818181818181818,<rdkit.Chem.rdchem.Mol object at 0x000001775E216150>
Drug 12,CC(C)CC(=O)Nc1snc2ccccc12,0,<rdkit.Chem.rdchem.Mol object at 0x000001775A6E7690>,234.324,3.2809000000000017,3,1,41.99,3,4,16,2,0.3333333333333333,<rdkit.Chem.rdchem.Mol object at 0x000001775E216030>
Drug 16,O=C(O)c1cc([N+](=O)[O-])cc2cccnc12,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754727450>,218.168,1.8412,4,1,93.33,2,6,16,2,0.0,<rdkit.Chem.rdchem.Mol object at 0x000001775E2161B0>
Drug 17,OC1C=Cc2c(ccc3c(Br)c4ccccc4cc23)C1O,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754479F90>,341.20400000000006,4.176600000000003,2,2,40.46,0,3,21,4,0.1111111111111111,<rdkit.Chem.rdchem.Mol object at 0x000001775E216270>
Drug 21,Cc1ccc2ccc3ccc(C)cc3c2c1,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754479E10>,206.28799999999998,4.609840000000003,0,0,0.0,0,0,16,3,0.125,<rdkit.Chem.rdchem.Mol object at 0x000001775E2162D0>
Drug 22,Cc1cc2c(nc(N)n2C)c2ncc(-c3ccccc3)nc12,1,<rdkit.Chem.rdchem.Mol object at 0x0000017754503DB0>,289.34200000000004,3.0741200000000015,5,1,69.62,1,5,22,4,0.11764705882352941,<rdkit.Chem.rdchem.Mol object at 0x000001775E216330>
Drug 26,OCc1cc2c3c(cccc3c1)-c1ccccc1-2,0,<rdkit.Chem.rdchem.Mol object at 0x0000017754503C90>,232.282,3.9795000000000025,1,1,20.23,1,1,18,4,0.058823529411764705,<rdkit.Chem.rdchem.Mol object at 0x000001775E216390>
Drug 32,CC(=O)NC(CSC(Cl)=C(Cl)Cl)C(=O)O,1,<rdkit.Chem.rdchem.Mol object at 0x00000177544F0930>,292.571,2.1519,3,2,66.4,5,8,15,0,0.42857142857142855,<rdkit.Chem.rdchem.Mol object at 0x000001775E2163F0>
