Drug_ID,Drug,Y,mol,mol_wt,logp,hba,hbd,tpsa,num_rot_bonds,num_het_atoms,num_heavy_atoms,num_rings,fsp3
CHEMBL1754,CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O,4.1,<rdkit.Chem.rdchem.Mol object at 0x0000023A54A8B3F0>,378.516,3.1733,3,0,32.78,6,4,28,4,0.458333333
CHEMBL1484,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,4.1,<rdkit.Chem.rdchem.Mol object at 0x0000023A54A8B390>,479.533,3.6778,8,1,111.01,9,9,35,3,0.307692308
CHEMBL1097,CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1,6.4,<rdkit.Chem.rdchem.Mol object at 0x0000023A54A8B210>,277.368,1.7166,3,2,61.44,7,5,20,1,0.466666667
CHEMBL517712,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,4.1,<rdkit.Chem.rdchem.Mol object at 0x0000023A54A8B330>,289.375,1.9309,4,1,49.77,4,4,21,3,0.588235294
CHEMBL469,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,5.1,<rdkit.Chem.rdchem.Mol object at 0x0000023A54A8B2D0>,255.273,2.291,3,1,59.3,3,4,19,3,0.2
CHEMBL521589,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1,2.6,<rdkit.Chem.rdchem.Mol object at 0x0000023A54A8B090>,367.446,2.2289,6,2,91.34,5,8,26,1,0.555555556
CHEMBL1055,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,36,<rdkit.Chem.rdchem.Mol object at 0x0000023A54A8B1B0>,338.772,0.9242,4,3,109.49,2,8,22,3,0.071428571
CHEMBL571,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,2.1,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B70FF30>,254.285,3.1057,2,1,54.37,4,3,19,2,0.125
CHEMBL631,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,2.1,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714390>,341.451,3.2414,4,2,58.56,11,4,25,2,0.380952381
CHEMBL296035,CCc1cccc2cc(C(O)CNC(C)(C)C)oc12,2.3,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B7140F0>,261.365,3.4167,3,2,45.4,4,3,19,2,0.5
CHEMBL1496,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,2,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B7144B0>,481.546,2.4017,7,3,140.92,10,11,33,2,0.409090909
CHEMBL108111,N=C(N)c1ccc(C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N2CCC(OCC(=O)O)CC2)cc1,2.1,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714270>,468.51,1.10957,6,5,166.04,9,10,34,3,0.333333333
CHEMBL84,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,2.3,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B7143F0>,421.453,1.8468,8,2,104.89,3,8,31,5,0.347826087
CHEMBL1504,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,2.4,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714210>,434.504,2.4188,6,2,93.06,2,7,31,5,0.75
CHEMBL266195,C=CCc1ccccc1OCC(O)CNC(C)C,2.5,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B7142D0>,249.354,2.1528,3,2,41.49,8,3,18,1,0.466666667
CHEMBL646,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,2.7,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714030>,343.217,4.23352,4,0,43.07,1,6,23,4,0.117647059
CHEMBL56564,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1c[nH]c3ccccc13)C2,5.6,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714570>,284.359,2.9499,3,1,45.33,2,4,21,4,0.470588235
CHEMBL297302,O=C(CCCN1CCC(n2c(O)nc3ccccc32)CC1)c1ccc(F)cc1,5.8,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714630>,381.451,4.181,5,1,58.36,6,6,28,4,0.363636364
CHEMBL434,CC(C)NCC(O)c1ccc(O)c(O)c1,0.41,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714690>,211.261,1.1292,4,4,72.72,4,4,15,1,0.454545455
CHEMBL135400,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,5.2,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714750>,388.815,1.568,7,0,91.76,2,10,27,4,0.352941176
CHEMBL459,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,5.9,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B7147B0>,211.217,0.4423,4,4,103.78,3,5,15,1,0.3
CHEMBL54,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,35,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714810>,375.871,4.4256,3,1,40.54,6,5,26,3,0.380952381
CHEMBL417,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,36,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714870>,543.525,0.0013,12,6,206.07,5,12,39,5,0.444444444
CHEMBL674,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,1.8,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B7148D0>,284.356,0.8069,4,3,101.65,6,6,20,1,0.714285714
CHEMBL27,CC(C)NCC(O)COc1cccc2ccccc12,3.4,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714930>,259.349,2.5775,3,2,41.49,6,3,19,2,0.375
CHEMBL1095284,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3c[nH]nn3)CS[C@H]12)c1ccc(O)cc1,1.2,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714990>,462.513,0.041,9,5,174.53,7,13,31,4,0.277777778
CHEMBL7413,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,1.6,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B7149F0>,262.309,1.3066,3,1,66.48,3,5,19,1,0.5
CHEMBL1073,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,3.3,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714AB0>,445.545,2.07812,6,3,130.15,7,10,31,3,0.428571429
CHEMBL897,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,5.9,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714B10>,285.365,2.1955,3,1,74.68,7,6,19,1,0.461538462
CHEMBL643,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,14,<rdkit.Chem.rdchem.Mol object at 0x0000023A5B714BD0>,284.428,4.2394,3,0,6.48,3,3,20,3,0.294117647
